Loc_key,Latitude,Longitude
1,41.53254,-88.098621
2,41.89179,-87.60359
3,42.949537,-87.9064721
4,42.717314,-87.882901
5,41.7853701,-87.5970738
6,41.7853701,-87.5970738
7,42.717314,-87.882901
8,42.9497264,-87.9080845
9,41.53254,-88.098621
10,41.53254,-88.098621
11,41.53254,-88.098621
12,41.53254,-88.098621
13,-00.000001,-00.000001
14,41.53254,-88.098621
15,43.0381866,-87.9026008
16,43.0381866,-87.9026008
17,41.835753,-87.62905
18,41.833679,-87.628339
19,41.6918922,-87.8364386
20,41.6930851,-87.8375
20,41.6930851,-87.8375
22,41.6918922,-87.8364386
23,41.902642,-87.822977
24,41.87907,-87.62948
25,41.902883,-87.824256
26,41.914398,-87.664703
27,41.902642,-87.822977
28,41.902883,-87.824256
29,41.8869909,-87.6770135
30,41.8869909,-87.6770135
31,41.8869909,-87.6770135
32,41.8961138,-87.6190619
33,41.8869909,-87.6770135
34,41.8869909,-87.6770135
35,N/A,N/A
36,42.949537,-87.9064721
37,42.949537,-87.9064721
38,42.128419,-87.827812
39,42.230453,-87.943882
40,41.8869909,-87.6770135
41,42.003388,-87.677133
42,41.999975,-87.676291
43,41.713634,-87.613953
44,,
45,41.999975,-87.676291
46,41.8882331,-87.6331171
47,41.8882331,-87.6331171
48,41.9781333,-87.7193734
49,41.8735982,-87.6529995
50,41.871871,-87.6504857
51,41.878963,-87.642108
52,41.896216,-87.9461793
53,41.964854,-87.658926
54,41.8961138,-87.6190619
55,41.8452013,-87.6814809
56,41.878963,-87.642108
57,41.878963,-87.642108
58,41.9781333,-87.7193734
59,41.9781333,-87.7193734
60,41.9781333,-87.7193734
61,41.896216,-87.9461793
62,41.896216,-87.9461793
63,41.871871,-87.6504857
64,41.964854,-87.658926
65,41.964854,-87.658926
66,41.8735982,-87.6529995
67,41.87907,-87.62948
68,41.60614,-88.07849
69,41.6800625,-88.1062547
70,41.678251,-88.105871
71,41.6800625,-88.1084487
72,41.6743369,-88.0750481
73,41.759462,-87.914037
74,41.6918922,-87.8364386
75,41.6930851,-87.8375
76,41.717316,-87.876349
77,41.713634,-87.613953
78,41.713634,-87.613952
79,41.7853701,-87.5970738
80,41.7891369,-87.5954551
81,41.790749,-87.582912
82,41.833679,-87.628339
83,41.835753,-87.62905
84,41.896216,-87.9461793
85,41.897361,-87.945346
86,41.984798,-88.017515
87,41.988433,-88.016745
88,42.0045071,-88.0177946
89,42.067389,-87.993611
90,42.087838,-87.982885
91,42.09088,-88.01951
92,42.2012617,-88.0394068
93,42.2012,-88.039212
94,42.196039,-88.1733328
95,42.052898,-88.141823
96,42.0540771,-88.1394865
97,42.081451,-88.072624
98,42.081453,-88.072626
99,42.062,-88.0473
100,42.0454105,-88.0457567
101,42.041211,-88.042916
102,42.0355428,-88.034571
103,42.02163,-88.031818
104,41.878963,-87.642108
105,41.87954,-87.64199
106,41.8801934,-87.6401187
107,41.8813392,-87.6375575
108,41.88401,-87.632984
109,41.8797866,-87.6349783
110,41.8452013,-87.6814809
111,41.8796938,-87.6341322
112,41.9781333,-87.7193734
113,41.97501,-87.70051
114,41.964854,-87.658926
115,41.9340924,-87.6395661
116,41.9267887,-87.6373734
117,41.925268,-87.65275
118,41.92833,-87.64154
119,41.8961138,-87.6190619
120,41.89462,-87.6211801
121,41.89848,-87.62402
122,41.8986337,-87.6229966
123,41.89781,-87.627614
124,41.895549,-87.623179
125,41.8882331,-87.6331171
126,41.888245,-87.633098
127,41.8889439,-87.6304685
128,41.88865,-87.62746
129,41.8805054,-87.6303461
130,41.8796591,-87.6312339
131,41.87907,-87.62948
132,41.8749883,-87.6294755
133,41.889451,-87.6248914
134,41.88964,-87.62224
135,41.8690309,-87.6330021
136,9999999,9999999
137,41.871871,-87.6504857
138,41.8719115,-87.6479515
139,41.87088,-87.66886
140,41.86357,-87.67647
141,41.870776,-87.677169
142,41.854593,-87.676143
143,41.8813392,-87.6375575
144,41.8813392,-87.6375575
145,41.886511,-87.633599
146,41.886511,-87.633599
147,41.888245,-87.633098
148,41.8961138,-87.6190619
149,41.8452013,-87.6814809
150,42.949537,-87.9064721
