Loc_key,overlap,lat,long
1,0,41.53254,-88.098621
2,0,41.89179,-87.60359
3,2,42.949537,-87.9064721
4,0,42.717314,-87.882901
5,1,41.7853701,-87.5970738
8,0,42.9497264,-87.9080845
15,0,43.0381866,-87.9026008
17,2,41.835753,-87.62905
18,2,41.833679,-87.628339
19,2,41.6918922,-87.8364386
20,2,41.6930851,-87.8375
23,2,41.902642,-87.822977
24,10,41.87907,-87.62948
25,2,41.902883,-87.824256
26,0,41.914398,-87.664703
29,0,41.8869909,-87.6770135
32,6,41.8961138,-87.6190619
38,0,42.128419,-87.827812
39,0,42.230453,-87.943882
41,-1,42.003388,-87.677133
42,0,41.999975,-87.676291
43,2,41.713634,-87.613953
46,8,41.8882331,-87.6331171
48,0,41.9781333,-87.7193734
49,3,41.8735982,-87.6529995
50,4,41.871871,-87.6504857
51,7,41.878963,-87.642108
52,2,41.896216,-87.9461793
53,0,41.964854,-87.658926
55,0,41.8452013,-87.6814809
68,0,41.60614,-88.07849
69,3,41.6800625,-88.1062547
70,4,41.678251,-88.105871
71,2,41.6800625,-88.1084487
72,0,41.6743369,-88.0750481
73,0,41.759462,-87.914037
76,0,41.717316,-87.876349
78,2,41.713634,-87.613952
80,1,41.7891369,-87.5954551
81,0,41.790749,-87.582912
85,2,41.897361,-87.945346
86,0,41.984798,-88.017515
87,0,41.988433,-88.016745
88,0,42.0045071,-88.0177946
89,0,42.067389,-87.993611
90,0,42.087838,-87.982885
91,0,42.09088,-88.01951
92,2,42.2012617,-88.0394068
93,2,42.2012,-88.039212
94,0,42.196039,-88.1733328
95,1,42.052898,-88.141823
96,1,42.0540771,-88.1394865
97,2,42.081451,-88.072624
98,2,42.081453,-88.072626
99,0,42.062,-88.0473
100,0,42.0454105,-88.0457567
101,0,42.041211,-88.042916
102,0,42.0355428,-88.034571
103,0,42.02163,-88.031818
105,7,41.87954,-87.64199
106,10,41.8801934,-87.6401187
107,11,41.8813392,-87.6375575
108,11,41.88401,-87.632984
109,13,41.8797866,-87.6349783
111,14,41.8796938,-87.6341322
113,0,41.97501,-87.70051
115,1,41.9340924,-87.6395661
116,1,41.9267887,-87.6373734
117,0,41.925268,-87.65275
118,2,41.92833,-87.64154
120,8,41.89462,-87.6211801
121,8,41.89848,-87.62402
122,6,41.8986337,-87.6229966
123,5,41.89781,-87.627614
124,10,41.895549,-87.623179
126,8,41.888245,-87.633098
127,8,41.8889439,-87.6304685
128,6,41.88865,-87.62746
129,12,41.8805054,-87.6303461
130,12,41.8796591,-87.6312339
132,5,41.8749883,-87.6294755
133,8,41.889451,-87.6248914
134,5,41.88964,-87.62224
135,0,41.8690309,-87.6330021
138,3,41.8719115,-87.6479515
139,1,41.87088,-87.66886
140,1,41.86357,-87.67647
141,1,41.870776,-87.677169
142,0,41.854593,-87.676143
145,10,41.886511,-87.633599
